carat,cut,color,clarity,depth,table,x,y,z,price,price_cat
0.73,Very Good,H,VS2,60.8,56,5.82,5.84,3.55,2779,2400-3200
0.74,Ideal,E,SI1,61.7,56,5.84,5.8,3.59,2779,2400-3200
0.7,Very Good,F,VS2,63.6,57,5.61,5.65,3.58,2780,2400-3200
0.77,Premium,G,VS2,61.2,58,5.9,5.93,3.62,2780,2400-3200
0.71,Ideal,F,VS2,62.1,54,5.68,5.72,3.54,2780,2400-3200
0.74,Ideal,G,VS1,61.5,55,5.81,5.86,3.59,2780,2400-3200
0.7,Ideal,G,VS1,61.4,59,5.64,5.73,3.49,2780,2400-3200
1.01,Premium,F,I1,61.8,60,6.39,6.36,3.94,2781,2400-3200
0.77,Ideal,H,SI1,62.2,56,5.83,5.88,3.64,2781,2400-3200
0.78,Ideal,H,SI1,61.2,56,5.92,5.99,3.64,2781,2400-3200
0.72,Very Good,H,VS1,60.6,63,5.83,5.76,3.51,2782,2400-3200
0.53,Very Good,D,VVS2,57.5,64,5.34,5.37,3.08,2782,2400-3200
0.76,Ideal,G,VS2,61.3,56,5.9,5.94,3.63,2782,2400-3200
0.7,Good,E,VS1,57.2,62,5.81,5.77,3.31,2782,2400-3200
0.7,Premium,E,VS1,62.9,60,5.62,5.54,3.51,2782,2400-3200
0.75,Very Good,D,SI2,63.1,58,5.78,5.73,3.63,2782,2400-3200
0.72,Ideal,D,SI1,60.8,57,5.76,5.75,3.5,2782,2400-3200
0.72,Premium,D,SI1,62.7,59,5.73,5.69,3.58,2782,2400-3200
0.7,Premium,D,SI1,62.8,60,5.68,5.66,3.56,2782,2400-3200
0.84,Fair,G,SI1,55.1,67,6.39,6.2,3.47,2782,2400-3200
0.75,Premium,F,SI1,61.4,59,5.88,5.85,3.6,2782,2400-3200
0.52,Ideal,F,IF,62.2,55,5.14,5.18,3.21,2783,2400-3200
0.72,Very Good,F,VS2,63,54,5.69,5.73,3.6,2784,2400-3200
0.79,Very Good,H,VS1,63.7,56,5.85,5.92,3.75,2784,2400-3200
0.72,Very Good,F,VS2,63.6,58,5.66,5.69,3.61,2787,2400-3200
0.51,Ideal,F,VVS1,62,57,5.11,5.15,3.18,2787,2400-3200
0.64,Ideal,D,VS1,61.5,56,5.54,5.55,3.41,2787,2400-3200
0.7,Very Good,H,VVS1,60.5,60,5.74,5.77,3.48,2788,2400-3200
0.83,Very Good,I,VS1,61.1,60,6.07,6.1,3.72,2788,2400-3200
0.76,Ideal,I,VVS2,61.8,56,5.85,5.87,3.62,2788,2400-3200
0.71,Good,D,VS2,63.3,56,5.64,5.68,3.58,2788,2400-3200
0.77,Good,G,VS1,59.4,64,5.97,5.92,3.53,2788,2400-3200
0.71,Ideal,F,SI1,62.5,55,5.71,5.65,3.55,2788,2400-3200
1.01,Fair,E,I1,64.5,58,6.29,6.21,4.03,2788,2400-3200
1.01,Premium,H,SI2,62.7,59,6.31,6.22,3.93,2788,2400-3200
0.77,Good,F,SI1,64.2,52,5.81,5.77,3.72,2789,2400-3200
0.76,Good,E,SI1,63.7,54,5.76,5.85,3.7,2789,2400-3200
0.76,Premium,E,SI1,60.4,58,5.92,5.94,3.58,2789,2400-3200
0.76,Premium,E,SI1,61.8,58,5.82,5.86,3.61,2789,2400-3200
1.05,Very Good,J,SI2,63.2,56,6.49,6.45,4.09,2789,2400-3200
0.81,Ideal,G,SI2,61.6,56,5.97,6.01,3.69,2789,2400-3200
0.7,Ideal,E,SI1,61.6,56,5.72,5.75,3.53,2789,2400-3200
0.55,Ideal,G,IF,60.9,57,5.28,5.3,3.22,2789,2400-3200
0.81,Good,G,SI2,61,61,5.94,5.99,3.64,2789,2400-3200
0.63,Premium,E,VVS2,62.1,57,5.48,5.41,3.38,2789,2400-3200
0.63,Premium,E,VVS1,60.9,60,5.55,5.52,3.37,2789,2400-3200
0.77,Premium,H,VS1,61.3,60,5.9,5.88,3.61,2789,2400-3200
1.05,Fair,J,SI2,65.8,59,6.41,6.27,4.18,2789,2400-3200
0.64,Ideal,G,IF,61.3,56,5.54,5.58,3.41,2790,2400-3200
0.76,Premium,I,VVS1,58.8,59,6,5.94,3.51,2790,2400-3200
0.83,Ideal,F,SI2,62.3,55,6.02,6.05,3.76,2790,2400-3200
0.71,Premium,F,VS1,60.1,62,5.77,5.74,3.46,2790,2400-3200
0.71,Premium,F,VS1,61.8,59,5.73,5.69,3.53,2790,2400-3200
0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,2791,2400-3200
0.73,Ideal,E,SI1,62.2,56,5.74,5.78,3.58,2791,2400-3200
0.71,Premium,E,SI1,59.2,59,5.83,5.86,3.46,2792,2400-3200
0.71,Premium,E,SI1,61.8,59,5.7,5.75,3.54,2792,2400-3200
0.71,Ideal,E,SI1,61.3,55,5.72,5.77,3.52,2792,2400-3200
0.7,Premium,F,VS1,62.1,60,5.71,5.65,3.53,2792,2400-3200
0.7,Premium,F,VS1,60.7,60,5.78,5.75,3.5,2792,2400-3200
0.76,Premium,H,VVS2,59.6,57,5.91,5.86,3.51,2792,2400-3200
0.7,Ideal,F,VS1,62.2,56,5.73,5.68,3.55,2792,2400-3200
0.79,Very Good,G,SI1,60.6,57,5.98,6.06,3.65,2793,2400-3200
0.7,Very Good,E,VS2,62.9,57,5.66,5.69,3.57,2793,2400-3200
0.7,Good,E,VS2,64.1,55,5.6,5.66,3.61,2793,2400-3200
0.76,Ideal,I,VS2,61.3,56,5.87,5.91,3.61,2793,2400-3200
0.73,Ideal,H,VS2,62.7,55,5.72,5.76,3.6,2793,2400-3200
0.79,Very Good,E,SI1,63.2,56,5.91,5.86,3.72,2794,2400-3200
0.71,Very Good,E,VS2,60.7,56,5.81,5.82,3.53,2795,2400-3200
0.81,Premium,I,VVS2,61.9,60,5.91,5.86,3.64,2795,2400-3200
0.81,Ideal,F,SI2,62.6,55,5.92,5.96,3.72,2795,2400-3200
0.72,Good,F,VS1,60.7,60,5.74,5.72,3.48,2795,2400-3200
0.72,Premium,D,SI2,62,60,5.73,5.69,3.54,2795,2400-3200
0.72,Premium,I,IF,63,57,5.72,5.7,3.6,2795,2400-3200
0.81,Premium,H,VS2,58,59,6.17,6.13,3.57,2795,2400-3200
0.72,Premium,G,VS2,62.9,57,5.73,5.65,3.58,2795,2400-3200
1,Premium,I,SI2,58.2,60,6.61,6.55,3.83,2795,2400-3200
0.73,Good,E,SI1,63.2,58,5.7,5.76,3.62,2796,2400-3200
0.81,Very Good,H,SI2,61.3,59,5.94,6.01,3.66,2797,2400-3200
0.81,Very Good,E,SI1,60.3,60,6.07,6.1,3.67,2797,2400-3200
0.71,Premium,D,SI1,62.7,60,5.67,5.71,3.57,2797,2400-3200
0.71,Premium,D,SI1,61.3,58,5.73,5.75,3.52,2797,2400-3200
0.71,Premium,D,SI1,61.6,60,5.74,5.69,3.52,2797,2400-3200
0.57,Ideal,F,VVS2,61.9,55,5.34,5.35,3.31,2797,2400-3200
0.51,Ideal,D,VVS1,61.7,56,5.12,5.16,3.17,2797,2400-3200
0.72,Ideal,G,VS2,61.9,58,5.72,5.75,3.55,2797,2400-3200
0.74,Ideal,H,VS1,61.8,58,5.77,5.81,3.58,2797,2400-3200
0.74,Ideal,H,VS1,61.6,56,5.81,5.82,3.58,2797,2400-3200
0.7,Fair,G,VVS1,58.8,66,5.81,5.9,3.44,2797,2400-3200
0.8,Premium,F,SI2,61,57,6.03,6.01,3.67,2797,2400-3200
1.01,Fair,E,SI2,67.4,60,6.19,6.05,4.13,2797,2400-3200
0.8,Very Good,H,VS2,63.4,60,5.92,5.82,3.72,2797,2400-3200
0.77,Ideal,I,VS1,61.5,59,5.87,5.91,3.62,2798,2400-3200
0.83,Very Good,E,SI2,58,62,6.19,6.25,3.61,2799,2400-3200
0.82,Ideal,F,SI2,62.4,54,5.97,6.02,3.74,2799,2400-3200
0.78,Ideal,D,SI1,61.9,57,5.91,5.86,3.64,2799,2400-3200
0.6,Very Good,G,IF,61.6,56,5.43,5.46,3.35,2800,2400-3200
0.9,Good,I,SI2,62.2,59,6.07,6.11,3.79,2800,2400-3200
0.7,Premium,E,VS1,62.2,58,5.6,5.66,3.5,2800,2400-3200
0.9,Very Good,I,SI2,61.3,56,6.17,6.23,3.8,2800,2400-3200
0.83,Ideal,G,SI1,62.3,57,5.99,6.08,3.76,2800,2400-3200
0.83,Ideal,G,SI1,61.8,57,6.03,6.07,3.74,2800,2400-3200
0.83,Very Good,H,SI1,62.5,59,5.95,6.02,3.74,2800,2400-3200
0.74,Premium,G,VS1,62.9,60,5.74,5.68,3.59,2800,2400-3200
0.79,Ideal,I,VS1,61.8,59,5.92,5.95,3.67,2800,2400-3200
0.61,Ideal,G,IF,62.3,56,5.43,5.45,3.39,2800,2400-3200
0.76,Fair,G,VS1,59,70,5.89,5.8,3.46,2800,2400-3200
0.96,Ideal,F,I1,60.7,55,6.37,6.41,3.88,2801,2400-3200
0.73,Ideal,F,VS2,62.5,55,5.8,5.76,3.61,2801,2400-3200
0.73,Premium,F,VS2,62.7,58,5.76,5.7,3.59,2801,2400-3200
0.75,Ideal,H,SI1,60.4,57,5.93,5.96,3.59,2801,2400-3200
0.71,Premium,F,VS2,62.1,58,5.7,5.67,3.53,2801,2400-3200
0.71,Good,F,VS2,57.8,60,5.9,5.87,3.4,2801,2400-3200
0.71,Good,F,VS2,63.8,58,5.64,5.61,3.59,2801,2400-3200
0.71,Premium,F,VS2,62.8,57,5.69,5.64,3.56,2801,2400-3200
1.04,Premium,G,I1,62.2,58,6.46,6.41,4,2801,2400-3200
1,Premium,J,SI2,62.3,58,6.45,6.34,3.98,2801,2400-3200
0.87,Very Good,G,SI2,59.9,58,6.19,6.23,3.72,2802,2400-3200
0.53,Ideal,F,IF,61.9,54,5.22,5.25,3.24,2802,2400-3200
0.72,Premium,E,VS2,63,55,5.79,5.61,3.59,2802,2400-3200
0.72,Premium,F,VS1,62.4,58,5.83,5.7,3.6,2802,2400-3200
0.7,Very Good,F,VS2,62.9,58,5.63,5.65,3.55,2803,2400-3200
0.74,Very Good,E,SI1,63.5,56,5.74,5.79,3.66,2803,2400-3200
0.71,Ideal,G,VS2,61.3,56,5.75,5.71,3.51,2803,2400-3200
0.73,Ideal,E,SI1,60.6,54,5.84,5.89,3.55,2803,2400-3200
0.7,Good,G,VS1,65.1,58,5.56,5.59,3.63,2803,2400-3200
0.71,Premium,F,VS2,62.6,58,5.7,5.67,3.56,2803,2400-3200
0.71,Premium,F,VS2,58,62,5.85,5.81,3.38,2803,2400-3200
0.71,Premium,G,VS1,62.4,61,5.7,5.65,3.54,2803,2400-3200
0.77,Premium,G,VS2,61.3,57,5.93,5.88,3.62,2803,2400-3200
0.71,Premium,G,VS2,59.9,60,5.81,5.77,3.47,2803,2400-3200
0.78,Premium,G,VS2,60.8,58,6.03,5.95,3.64,2803,2400-3200
0.71,Very Good,G,VS1,63.5,55,5.66,5.64,3.59,2803,2400-3200
0.91,Ideal,D,SI2,62.2,57,6.21,6.15,3.85,2803,2400-3200
0.71,Very Good,E,VS2,63.8,58,5.62,5.66,3.6,2804,2400-3200
